Teff logg Vturb FeH C O Mg Al Si K Ca Ti Fe H
2817 4.76 0.82 -0.821 7.6215 7.7710 6.5555 6.1041 6.3934 4.4768 5.6754 4.1540 6.6785 12.0
3249 4.68 0.09 -2.227 6.5603 6.6971 5.6832 4.2706 5.1754 2.8199 4.0090 2.8248 5.2735 12.0
3589 5.33 1.67 -2.070 6.7776 6.3620 5.5573 4.6767 6.0071 2.9043 4.7193 3.0545 5.4299 12.0
3854 4.60 0.03 -0.566 7.5411 8.4351 7.0063 5.5311 7.2177 4.3786 5.3533 4.5744 6.9340 12.0
4327 4.75 0.67 -0.836 7.7828 8.0690 6.6217 5.7409 6.4692 4.7965 5.6144 3.7037 6.6639 12.0
2808 5.34 2.00 0.042 8.8602 8.3722 7.5660 6.2136 7.7285 4.8671 6.0162 5.3931 7.5420 12.0
3401 4.77 1.54 -2.181 6.2529 6.2934 5.2979 4.6084 5.8541 2.5505 3.9976 2.6733 5.3189 12.0
3225 4.70 1.04 0.084 9.0550 9.0031 7.9332 6.4261 7.8469 5.1547 6.2904 5.3167 7.5837 12.0
3464 5.26 1.32 -0.796 7.6017 7.8412 7.1185 5.3260 6.3147 4.3165 5.3112 4.2402 6.7044 12.0
3585 4.79 0.81 0.471 9.0475 8.9228 8.3112 7.1202 7.6533 5.6346 6.8867 5.5106 7.9707 12.0
2877 4.90 1.49 -1.619 6.7784 7.0278 6.3403 4.6066 5.6126 3.6708 4.7026 3.1673 5.8812 12.0
3364 5.46 1.78 -2.206 5.9181 6.6278 5.4537 3.8157 5.3832 3.0961 4.5124 3.1442 5.2938 12.0
3062 4.79 0.37 -1.259 7.0612 7.6520 5.8479 5.1779 5.9900 4.2151 5.5643 4.0414 6.2414 12.0
3741 5.08 0.01 -1.735 6.9003 6.8762 5.3955 5.0676 5.5460 3.6851 4.7829 3.2948 5.7649 12.0
4406 4.69 0.42 -0.663 7.4715 8.4155 7.1665 5.4701 6.7679 4.6571 5.7029 4.6124 6.8373 12.0
3258 5.37 0.79 -2.211 6.7889 6.5042 5.6896 4.1580 5.4453 2.5421 4.0501 2.6819 5.2888 12.0
2929 4.66 0.77 -0.631 8.3526 8.4044 6.8355 5.5898 6.7651 4.7568 5.2409 4.0854 6.8692 12.0
3698 4.71 0.99 -1.401 7.0642 7.1403 6.5260 4.8722 6.4345 4.0719 4.8667 3.9182 6.0995 12.0
2833 4.78 1.18 -0.171 8.5027 8.4646 6.9149 6.2575 6.9970 5.2708 6.1167 5.1046 7.3293 12.0
4122 4.73 2.00 -1.097 7.1677 8.0457 6.8037 5.1332 6.0986 4.4752 5.4086 3.5855 6.4026 12.0
3015 5.21 0.69 -0.168 8.6049 8.3434 6.9791 6.0496 7.7646 4.8036 6.6357 4.8145 7.3319 12.0
3364 5.22 1.74 -0.159 8.7124 8.9401 7.1634 6.3446 7.3231 4.7909 6.1380 5.0371 7.3412 12.0
4461 5.50 1.80 -2.446 6.3157 6.2689 4.6379 3.5112 4.7132 2.3565 3.8859 2.1607 5.0542 12.0
4371 4.57 1.56 -0.579 8.3512 8.3734 6.4831 6.2902 7.0648 4.4790 5.4015 4.3187 6.9211 12.0
4286 5.14 0.37 -0.319 8.6936 8.9092 6.8235 6.4955 7.6662 4.5984 6.3674 4.2382 7.1810 12.0
4052 4.57 0.33 -0.175 8.4155 8.6272 7.3648 6.0007 7.4278 4.9913 6.4708 5.0405 7.3247 12.0
3055 4.64 0.79 -1.921 7.0055 6.8811 5.1600 4.9634 5.1734 2.7875 4.6327 2.6614 5.5788 12.0
3796 4.62 0.53 -0.143 8.3277 8.7393 7.6203 6.6665 7.6506 5.3903 6.4015 4.3806 7.3565 12.0
2870 5.03 0.98 -0.156 8.3311 8.6852 7.0498 6.4225 7.2272 4.8228 6.0435 5.0635 7.3437 12.0
2900 4.83 1.79 0.569 9.0060 9.4030 8.2773 6.7660 7.9456 6.0847 6.9547 5.3999 8.0687 12.0
4138 4.66 0.38 -1.389 6.7332 7.5575 6.2524 4.7253 6.1277 3.5782 5.0065 3.9048 6.1106 12.0
4002 5.46 1.36 -1.451 7.6021 7.3230 5.7196 5.1671 6.2152 3.7485 4.4713 3.3577 6.0495 12.0
3980 5.02 0.50 -1.404 7.6391 7.3991 6.1483 5.2631 6.3853 4.1666 4.8413 3.1781 6.0956 12.0
3028 4.63 1.26 -1.190 7.8500 7.2059 5.8836 5.0532 6.7425 3.9140 4.9142 3.8598 6.3101 12.0
3373 5.09 1.42 -1.694 6.4158 6.9619 5.5289 5.2020 6.3541 3.4320 4.7248 3.1965 5.8062 12.0
3876 4.72 1.83 -1.851 6.4978 7.1971 6.0471 4.9495 6.1732 3.6081 4.5065 3.5560 5.6489 12.0
3204 5.45 1.29 -2.099 6.0604 6.8283 5.8569 4.5709 5.1249 2.5886 4.0383 3.1031 5.4009 12.0
4036 4.73 0.29 -1.084 7.6460 7.2929 6.8535 5.7560 6.3072 3.8198 5.3878 3.9593 6.4157 12.0
4013 4.72 1.83 -2.233 5.9457 6.2840 5.2994 4.3931 5.5146 3.3808 4.2267 3.0517 5.2672 12.0
3489 4.96 1.43 -0.430 8.2600 8.0228 7.2900 5.5342 7.4091 4.9663 6.3322 4.2655 7.0699 12.0
4109 5.05 0.85 0.531 8.7865 9.2741 8.1904 7.0072 8.4368 5.8403 6.9414 5.5096 8.0314 12.0
3753 4.59 0.70 0.358 8.6963 8.7323 7.8728 6.5135 8.1617 5.5765 6.4186 5.4621 7.8578 12.0
3601 5.46 0.96 -2.476 6.4144 6.1352 4.7046 4.2898 5.4198 2.7274 3.7172 2.5750 5.0242 12.0
4258 5.26 0.82 -1.972 6.9935 7.0241 5.2854 4.7866 6.0464 2.7178 4.7927 3.3345 5.5282 12.0
3890 5.10 1.85 -2.104 6.5773 6.4502 5.8892 4.2752 5.6662 2.7046 3.9619 2.6023 5.3957 12.0
3656 5.09 1.33 0.146 8.2948 9.3938 7.4398 6.3354 7.6696 5.0716 6.1585 5.3200 7.6463 12.0
3021 4.60 0.57 -0.609 8.4016 7.8331 6.6117 5.7472 7.4558 4.9640 5.3197 3.9020 6.8908 12.0
2810 5.19 1.17 -0.113 8.4748 8.9938 7.1909 6.2207 7.0381 5.4424 6.7373 4.9384 7.3867 12.0
2899 5.46 0.87 -2.305 6.0711 6.8219 4.7824 3.9966 4.9013 2.5740 3.7699 2.9585 5.1951 12.0
4328 4.99 1.53 0.171 8.7349 8.5705 7.8863 6.2073 7.7568 5.7380 6.4398 4.9993 7.6714 12.0
